freq,nace_r1,indic_sb,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,F,V11110,AL	: 	: 	: 	1061 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,F,V11110,AT	15817 	17273 	17403 	17327 	17528 	18415 	19359 	21520 	23421 	24162 	24511 	25646 	26965 	28295 
A,F,V11110,BE	: 	: 	: 	: 	53417 	52977 	54914 	: 	55134 	58754 	59310 	62935 	66619 	72542 
A,F,V11110,BG	: 	16732 	15355 	13966 	16367 	16886 	18305 	16986 	16824 	14250 	12823 	14638 	18193 	20251 
A,F,V11110,CH	: 	: 	33481 	34027 	34573 	35049 	34531 	: 	: 	: 	: 	: 	: 	: 
A,F,V11110,CY	: 	: 	: 	: 	: 	5667 	5688 	4800 	4872 	5217 	6083 	6203 	5987 	5942 
A,F,V11110,CZ	78951 	85163 	106661 	111948 	110813 	126040 	119764 p	144038 	147790 	150474 	144177 	145836 	153156 	155094 p
A,F,V11110,DE	: 	: 	: 	: 	274317 	279426 	232820 	233174 	223481 	227115 	201755 	202535 	220663 	225126 
A,F,V11110,DK	25834 	25995 	26811 	28148 	26423 	27967 	28070 	27935 	27875 	28916 	31109 	33732 	35611 	36014 
A,F,V11110,EE	1884 	1811 	1959 	2153 	2597 	2218 	2205 	2538 	2722 	3119 	3742 	4803 	6431 	7307 
A,F,V11110,EL	: 	: 	: 	: 	8557 	8582 	8862 	: 	103898 	107837 	110422 	109031 	108830 	: 
A,F,V11110,ES	: 	: 	: 	: 	266416 	281629 	300641 	331829 	352331 	377070 	402902 	427269 	456358 	352937 
A,F,V11110,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	2635641.93 	2719307.21 	2792507 	2901873.5 	3089953 	: 
A,F,V11110,FI	25724 	26121 	25302 	: 	28272 	29215 	29916 	30666 	31341 	32546 	34034 	36863 	40456 	42748 
A,F,V11110,FR	: 	309513 	306425 	306907 	308503 	319755 	329865 	333673 	368361 	381545 	395042 	410782 	435326 	414023 
A,F,V11110,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	22323.00 
A,F,V11110,HU	: 	: 	: 	6191 	7105 	7379 	63982 	65857 	69667 	71951 	71431 	69290 	69939 	71754 
A,F,V11110,IE	: 	: 	: 	: 	: 	: 	546 	646 	682 	734 	728 	1291 	1344 	45665 
A,F,V11110,IT	434236 	461434 	452798 	482134 	491248 	511017 	530993 	537878 	548272 	563123 	584449 	594675 	615862 	627857 
A,F,V11110,LT	1895 	1872 	2343 	2244 	2877 	2740 	3115 	3139 	3281 	3362 	11511 	17585 	19545 	21851 
A,F,V11110,LU	1545 	1524 	1571 	1804 	1707 p	1738 	1888 	1952 	1973 	2011 	2088 	2175 	2266 	2371 
A,F,V11110,LV	: 	: 	1850 	1941 	2018 	3108 	2337 	2595 	2914 	3488 	4152 	4905 	5974 	6968 
A,F,V11110,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3886 
A,F,V11110,MT	: 	: 	: 	: 	3678 	3644 	3882 	3911 	3268 	3289 	3101 	: 	3720 	2716 
A,F,V11110,NL	43950 	48425 	51415 	58340 	62335 	: 	67595 	69440 	71300 	72365 	74025 	81690 	85910 	96660 
A,F,V11110,NO	: 	: 	32938 	33538 	33808 	33544 	34547 	35907 	36511 	36741 	38135 	39698 	42195 	44494 
A,F,V11110,PL	: 	135011 	185573 	204276 	214264 	205047 	174843 	183372 	170295 	159958 	160227 	169665 	205440 p	230879 
A,F,V11110,PT	30405 e	68718 	64307 	68522 	77973 	78381 	72891 	92925 	108909 	112962 	121671 	122070 	122487 	119823 
A,F,V11110,RO	: 	: 	9470 	10521 	11329 	12021 	14299 	16567 	20629 	25389 	30372 	36115 	46925 	50683 
A,F,V11110,SE	: 	: 	50146 	50280 	50818 	53190 	55142 	56888 	58909 	60981 	64420 	68856 	73388 	77200 
A,F,V11110,SI	11859 	12385 	12083 	12576 	13695 	14137 	15605 	13375 	12782 	13545 	13942 	15753 	17176 	18813 
A,F,V11110,SK	655 	666 	804 	817 	838 	2911 	3691 	2738 	3590 	3254 	3724 	4900 	4981 	5289 
A,F,V11110,UK	: 	180470 	178937 	179868 	208178 	190832 	193162 	195595 	201121 	209316 	220756 	229220 	240401 	252534 p
A,F,V12110,AL	: 	: 	: 	85.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,F,V12110,AT	21526.2 	22379.9 	21861.3 	22393.2 	22482.4 	23979.8 	23981.0 	25464.7 	27158.4 	27822.4 	28237.8 	30454.5 	33981.8 	38922.8 
