freq,nace_r1,indic_sb,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 
A,D,V11110,AL	: 	: 	: 	3585 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D,V11110,AT	25509 	26934 	25465 	26321 	25096 	25050 	25592 	27572 	28581 	28609 	28374 	28712 	28844 	28161 
A,D,V11110,BE	: 	: 	: 	: 	37431 	37538 	37965 	: 	36089 	36904 	36571 	36310 	38894 	39474 
A,D,V11110,BG	: 	23674 	24182 	25679 	25210 	24814 	25717 	25689 	27603 	28730 	28740 	29310 	30562 	32054 
A,D,V11110,CY	: 	: 	: 	: 	: 	6146 	6275 	6297 	6325 	6238 	5565 	5586 	5565 	5650 
A,D,V11110,CZ	106170 	111122 	145800 	128309 	136206 	144099 	131582 p	153788 	153131 	151252 	149581 	149203 	152645 	160410 p
A,D,V11110,DE	: 	: 	: 	: 	236282 	231789 	219400 	196702 	201390 	199782 	203906 	196754 	202377 	190783 
A,D,V11110,DK	26092 	25255 	24606 	24424 	20525 	20470 	19863 	19235 	18730 	18611 	18571 	18457 	18423 	18114 
A,D,V11110,EE	3799 	3524 	3824 	3869 	4329 	4104 	4226 	4398 	4752 	4996 	5141 	5499 	5875 	5844 
A,D,V11110,EL	: 	: 	: 	: 	: e	: 	: 	: 	87741 	87643 	91203 	93339 	95303 	86148 
A,D,V11110,ES	145906 	159458 	155641 	157377 	226663 	229289 	225979 	222291 	220284 	222656 	219868 	220148 	217011 	210256 
A,D,V11110,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	2312875.11 	2314060 	2322305 	2309523 	2322833 	: 
A,D,V11110,FI	28345 	28015 	25226 	26990 	26215 	26190 	26158 	25799 	25504 	25366 	25190 	25237 	25727 	25842 
A,D,V11110,FR	: 	261418 	258044 	256163 	252476 	251478 	250420 	248349 	260018 	258404 	256013 	254211 	260928 	234593 
A,D,V11110,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	25494.00 
A,D,V11110,HU	: 	: 	: 	12544 	14028 	14713 	75219 	73005 	69711 	68042 	64956 	61496 	60013 	59746 
A,D,V11110,IE	4289 	4312 	4447 p	4424 p	4524 	4777 	4775 	4932 	4880 	4519 	4256 	4428 	5303 	5691 
A,D,V11110,IT	535554 	568481 	546972 	563907 	559408 	560882 	555134 	549388 	534222 	524362 	519323 	514452 	510935 	497635 
A,D,V11110,LT	7070 	6370 	8554 	7534 	8801 	8925 	9577 	9483 	9030 	8614 	15636 	17009 	16059 	16590 
A,D,V11110,LU	887 	917 	949 	991 	973 p	977 	987 	984 	948 	947 	950 	947 	975 	988 
A,D,V11110,LV	: 	: 	4063 	4393 	4630 	5048 	4951 	7529 	7689 	7490 	7633 	8009 	7882 	8101 
A,D,V11110,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8877 
A,D,V11110,MT	: 	: 	: 	: 	3930 	3741 	3777 	3792 	2905 	2918 	2828 	: 	2890 	2217 
A,D,V11110,NL	42910 	42155 	44960 	47080 	46225 	45450 	47075 	46435 	46010 	46595 	45600 	46610 	46570 	47600 
A,D,V11110,NO	: 	10058 	10659 	10759 	10084 	10376 	9888 	: 	9460 	20006 	19686 	19298 	18422 	19894 
A,D,V11110,PL	: 	193797 	212104 	234226 	243347 	219313 	199993 	210200 	197397 	207197 	191561 	194399 	197931 	202295 
A,D,V11110,PT	: 	: 	: 	: 	78553 	76932 	72372 	78789 	78431 	80558 	104262 	97958 	94639 	89771 
A,D,V11110,RO	: 	: 	35962 	38803 	40966 	41547 	42787 	46517 	50819 	55305 	57900 	58878 	59945 	67679 
A,D,V11110,SE	38922 	39932 	48921 	50136 	50668 	52854 	53930 	54616 	57677 	58995 	60379 	61336 	61023 	61799 
A,D,V11110,SI	27616 	27825 	23116 	23327 	23567 	23172 	25691 	19381 	17767 	17855 	17041 	17935 	17858 	18305 
A,D,V11110,SK	1654 	1750 	2002 	2053 	2124 	5614 	6368 	5609 	6764 	6389 	6848 	8075 	8624 	8735 
A,D,V11110,UK	: 	164808 	169648 	169356 	179328 	167569 	164999 	162197 	158477 	155083 	153445 	151433 	149130 	145776 p
A,D,V12110,AL	: 	: 	: 	223.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,D,V12110,AT	90759.4 	90517.3 	91143.5 	97677.0 	100099.5 	108886.1 	112047.4 	114469.8 	115466.4 	124163.8 	131978.8 	143756.4 	155401.1 	166166.9 
A,D,V12110,BE	150265.6 	147031.1 	149805.5 	153146.9 	160364.8 	185053.1 	189124.6 	: 	185028.9 	196817.6 	211985.7 	244008.3 	258291.9 	270590.7 
A,D,V12110,BG	: 	6828.8 	7358.8 	7272.4 	6673.5 	8532.9 	10055.5 	10300.6 	11485.8 	14547.6 	16908.9 	20597.6 	23931.2 	26388.2 
A,D,V12110,CY	2188.8 	2243.8 	2327.1 	2343.3 	: 	2917.4 	3035.6 	3165.0 	3123.5 	3254.2 	3377.1 	3461.4 	3706.8 	4122.9 
A,D,V12110,CZ	34306.2 	40446.2 	45200.3 	46605.2 	46287.4 	55016.2 	63839.9 p	71577.9 	73933.8 	87280.6 	: 	117733.6 	130904.8 	146261.0 p
A,D,V12110,DE	: 	: 	: 	: 	1384143.7 	1425116.1 	1470029.8 	1468401.5 	1490475.7 	1578058.6 	1636306.1 	1767561.0 	1878517.3 	1866162.3 
A,D,V12110,DK	59890.9 	60382.4 	62091.4 	64624.8 	66625.1 	72361.8 	77066.4 	77080.5 	76544.4 	76368.8 	80103.7 	86907.6 	94107.3 	98613.1 
A,D,V12110,EE	1830.4 	2012.1 	2572.1 	2870.1 	2662.6 	3342.8 	3853.8 	4339.1 	4791.8 	5528.8 	6350.2 	7442.1 	8567.6 	8710.9 
A,D,V12110,EL	: 	: 	: 	: 	: e	: 	: 	: 	41426.3 	46088.7 	48389.9 	55437.3 	59404.4 	67325.8 
A,D,V12110,ES	260176.2 	279824.6 	299593.6 	320197.0 	347596.9 	388833.7 	408384.4 	411298.4 	423922.8 	454412.5 	486556.0 	528507.7 	565297.8 	551200.0 
A,D,V12110,EU27_2007	: 	: 	: 	: 	: 	: 	: 	: 	5809694.84 	6081060.66 	6328861.2 	6816111.6 	7273512.4 	: 
A,D,V12110,FI	68161.2 	68130.5 	75669.7 	79177.9 	84935.6 	104136.3 	107047.9 	105751.7 	107243.8 	112279.6 	120929.3 	140515.3 	150409.4 	142298.3 
A,D,V12110,FR	: 	723824.4 	750234.0 	787302.9 	877240.9 	910126.3 	944568.1 	990643.3 	980787.8 	918778.9 	945692.0 	950035.9 	980418.5 	989155.5 
A,D,V12110,HU	: 	: 	: 	31197.5 	36140.2 	44948.2 	54747.2 	60012.8 	64753.3 	69773.3 	77221.8 	83546.6 	93758.3 	99017.2 
A,D,V12110,IE	43576.4 	48010.3 	58025.9 p	65358.4 p	79857.5 	98246.6 	102142.2 	103739.9 	104912.1 	108243.2 	113031.8 	118641.3 	125688.2 	123856.7 
A,D,V12110,IT	606689.9 	670757.1 	692315.2 	727292.3 	721523.8 	819199.5 	827765.0 	822871.2 	806335.4 	862878.3 	863788.1 	931346.5 	1001151.9 	1004916.7 
A,D,V12110,LT	2166.3 	2737.6 	3919.9 	4130.7 	4084.8 	5548.7 	6460.6 	6812.4 	7644.2 	9234.9 	11269.5 	12967.4 	14127.6 	17334.7 
A,D,V12110,LU	6768.4 	6147.5 	6623.9 	7035.5 	7086.0 p	7768.3 	8074.0 	8040.1 	14493.0 	18559.8 	19998.0 	25201.9 	28412.7 	45626.9 
